"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","32.000","32.275","32.425","31.850","90.81K","-0.82%"
"09/23/2025","32.265","31.900","32.490","31.775","71.92K","1.32%"
"09/22/2025","31.844","32.150","32.470","31.755","79.31K","-1.44%"
"09/19/2025","32.308","32.890","33.010","32.150","89.78K","-1.95%"
"09/18/2025","32.952","32.360","33.110","32.300","99.98K","1.70%"
"09/17/2025","32.401","32.455","32.790","32.315","74.60K","0.22%"
"09/16/2025","32.329","32.000","32.485","31.620","78.25K","0.54%"
"09/15/2025","32.154","32.650","32.740","31.930","83.39K","-1.56%"
"09/12/2025","32.662","32.350","32.900","32.005","87.65K","1.05%"
"09/11/2025","32.323","33.300","33.380","32.265","90.45K","-2.41%"
"09/10/2025","33.122","32.950","33.440","32.705","82.77K","0.58%"
"09/09/2025","32.931","33.350","33.350","32.110","115.94K","-0.40%"
"09/08/2025","33.064","32.100","33.195","32.060","85.30K","3.43%"
"09/05/2025","31.969","32.500","32.750","31.830","77.28K","-1.37%"
"09/04/2025","32.412","32.110","32.650","31.700","83.09K","0.93%"
"09/03/2025","32.112","31.920","32.425","31.400","91.24K","1.07%"
"09/02/2025","31.772","32.375","32.735","31.610","91.61K","-0.90%"
"09/01/2025","32.061","31.625","32.380","31.355","68.17K","1.39%"
"08/29/2025","31.622","31.890","32.000","31.350","87.42K","0.20%"
"08/28/2025","31.559","32.260","32.350","31.035","56.50K","-3.05%"
"08/27/2025","32.551","33.165","33.360","32.235","104.56K","-2.72%"
"08/26/2025","33.460","33.795","33.795","33.240","80.18K","-0.93%"
"08/25/2025","33.774","33.280","33.905","32.860","39.28K","0.60%"
"08/22/2025","33.573","33.065","33.685","33.050","94.97K","1.20%"
"08/21/2025","33.175","32.080","33.400","31.605","88.12K","3.98%"
"08/20/2025","31.906","31.300","32.300","31.015","74.47K","2.17%"
"08/19/2025","31.227","30.820","31.430","30.590","62.69K","-0.14%"
"08/18/2025","31.272","31.000","31.460","30.300","81.75K","0.78%"
"08/15/2025","31.031","32.095","32.380","30.760","81.67K","-3.45%"
"08/14/2025","32.141","32.875","32.880","31.850","74.94K","-1.41%"
"08/13/2025","32.600","32.350","32.850","32.350","56.48K","0.59%"
"08/12/2025","32.409","33.200","33.375","32.245","61.59K","-1.79%"
"08/11/2025","32.999","32.200","33.155","32.140","63.04K","1.70%"
"08/08/2025","32.446","32.865","33.435","32.110","95.32K","-1.53%"
"08/07/2025","32.951","33.010","33.255","32.775","59.08K","-0.92%"
"08/06/2025","33.257","34.245","34.295","33.110","79.46K","-3.34%"
"08/05/2025","34.406","34.140","34.485","33.765","61.01K","0.36%"
"08/04/2025","34.283","33.610","34.380","33.430","66.95K","0.92%"
"08/01/2025","33.972","35.350","35.400","33.740","76.89K","-3.70%"
