trade_date,contract_code,contract_month,settle,volume
2024-06-18,SONIA,2024-06,94.77,1500
2024-06-19,SONIA,2024-06,94.82,81430
2024-06-20,SONIA,2024-06,94.85,107480
2024-06-21,SONIA,2024-06,94.85,47240
2024-06-24,SONIA,2024-06,94.86,6540
2024-06-25,SONIA,2024-06,94.85,17020
2024-06-26,SONIA,2024-06,94.85,35780
2024-06-27,SONIA,2024-06,94.85,8980
2024-06-28,SONIA,2024-06,94.85,11570
2024-07-01,SONIA,2024-07,94.85,8760
2024-07-02,SONIA,2024-07,94.85,22460
2024-07-03,SONIA,2024-07,94.85,11130
2024-07-04,SONIA,2024-07,94.85,11830
2024-07-05,SONIA,2024-07,94.86,20830
2024-07-08,SONIA,2024-07,94.86,10240
2024-07-09,SONIA,2024-07,94.86,8320
2024-07-10,SONIA,2024-07,94.85,57400
2024-07-11,SONIA,2024-07,94.85,39150
2024-07-12,SONIA,2024-07,94.84,22360
2024-07-15,SONIA,2024-07,94.83,19500
2024-07-16,SONIA,2024-07,94.83,30310
2024-07-17,SONIA,2024-07,94.82,46930
2024-07-18,SONIA,2024-07,94.82,43150
2024-07-19,SONIA,2024-07,94.83,10200
2024-07-22,SONIA,2024-07,94.82,20250
2024-07-23,SONIA,2024-07,94.82,20560
2024-07-24,SONIA,2024-07,94.83,25060
2024-07-25,SONIA,2024-07,94.83,38230
2024-07-26,SONIA,2024-07,94.84,27020
2024-07-29,SONIA,2024-07,94.85,30360
2024-07-30,SONIA,2024-07,94.85,33060
2024-07-31,SONIA,2024-07,94.86,49990
2024-08-01,SONIA,2024-08,94.9,98860
2024-08-02,SONIA,2024-08,94.9,22580
2024-08-05,SONIA,2024-08,94.9,72270
2024-08-06,SONIA,2024-08,94.9,3290
2024-08-07,SONIA,2024-08,94.9,7040
2024-08-08,SONIA,2024-08,94.9,13800
2024-08-09,SONIA,2024-08,94.9,4340
2024-08-12,SONIA,2024-08,94.9,5680
2024-08-13,SONIA,2024-08,94.9,13060
2024-08-14,SONIA,2024-08,94.9,5640
2024-08-15,SONIA,2024-08,94.9,7640
2024-08-16,SONIA,2024-08,94.9,440
2024-08-19,SONIA,2024-08,94.9,180
2024-08-20,SONIA,2024-08,94.9,90
2024-08-21,SONIA,2024-08,94.9,4460
2024-08-22,SONIA,2024-08,94.9,860
2024-08-23,SONIA,2024-08,94.9,1390
2024-08-27,SONIA,2024-08,94.9,2210
2024-08-28,SONIA,2024-08,94.89,1510
2024-08-29,SONIA,2024-08,94.9,290
2024-08-30,SONIA,2024-08,94.9,410
2024-09-02,SONIA,2024-09,94.9,560
2024-09-03,SONIA,2024-09,94.9,3710
2024-09-04,SONIA,2024-09,94.9,680
2024-09-05,SONIA,2024-09,94.9,360
2024-09-06,SONIA,2024-09,94.9,6190
2024-09-09,SONIA,2024-09,94.9,1130
2024-09-10,SONIA,2024-09,94.9,370
2024-09-11,SONIA,2024-09,94.9,1560
2024-09-12,SONIA,2024-09,94.9,590
2024-09-13,SONIA,2024-09,94.9,1870
2024-09-16,SONIA,2024-09,94.9,1910
2024-09-17,SONIA,2024-09,94.9,1070
2024-09-18,SONIA,2024-09,95.18,69960
2024-09-19,SONIA,2024-09,95.14,124270
2024-09-20,SONIA,2024-09,95.14,53410
2024-09-23,SONIA,2024-09,95.15,44030
2024-09-24,SONIA,2024-09,95.15,22130
2024-09-25,SONIA,2024-09,95.14,21240
2024-09-26,SONIA,2024-09,95.14,13690
2024-09-27,SONIA,2024-09,95.14,70740
2024-09-30,SONIA,2024-09,95.14,30550
2024-10-01,SONIA,2024-10,95.13,22170
2024-10-02,SONIA,2024-10,95.13,11430
2024-10-03,SONIA,2024-10,95.14,52670
2024-10-04,SONIA,2024-10,95.13,57360
2024-10-07,SONIA,2024-10,95.13,42240
2024-10-08,SONIA,2024-10,95.13,47330
2024-10-09,SONIA,2024-10,95.13,5170
2024-10-10,SONIA,2024-10,95.12,20210
2024-10-11,SONIA,2024-10,95.13,18590
2024-10-14,SONIA,2024-10,95.13,10490
2024-10-15,SONIA,2024-10,95.13,18740
2024-10-16,SONIA,2024-10,95.14,19240
2024-10-17,SONIA,2024-10,95.14,33900
2024-10-18,SONIA,2024-10,95.14,24840
2024-10-21,SONIA,2024-10,95.14,10840
2024-10-22,SONIA,2024-10,95.14,2980
2024-10-23,SONIA,2024-10,95.13,2600
2024-10-24,SONIA,2024-10,95.13,25980
2024-10-25,SONIA,2024-10,95.13,5210
2024-10-28,SONIA,2024-10,95.13,8380
2024-10-29,SONIA,2024-10,95.13,28330
2024-10-30,SONIA,2024-10,95.13,60300
2024-10-31,SONIA,2024-10,95.12,102460
2024-11-01,SONIA,2024-11,95.13,47310
2024-11-04,SONIA,2024-11,95.13,13280
2024-11-05,SONIA,2024-11,95.13,31510
2024-11-06,SONIA,2024-11,95.13,23540
2024-11-07,SONIA,2024-11,95.14,135980
2024-11-08,SONIA,2024-11,95.14,1510
2024-11-11,SONIA,2024-11,95.13,950
2024-11-12,SONIA,2024-11,95.14,540
2024-11-13,SONIA,2024-11,95.14,330
2024-11-14,SONIA,2024-11,95.14,100
2024-11-15,SONIA,2024-11,95.14,2970
2024-11-18,SONIA,2024-11,95.13,750
2024-11-19,SONIA,2024-11,95.13,650
2024-11-20,SONIA,2024-11,95.14,310
2024-11-21,SONIA,2024-11,95.14,50
2024-11-22,SONIA,2024-11,95.14,240
2024-11-25,SONIA,2024-11,95.13,880
2024-11-26,SONIA,2024-11,95.13,110
2024-11-27,SONIA,2024-11,95.13,500
2024-11-28,SONIA,2024-11,95.13,76930
2024-11-29,SONIA,2024-11,95.13,22670
2024-12-02,SONIA,2024-12,95.13,620
2024-12-03,SONIA,2024-12,95.13,2130
2024-12-04,SONIA,2024-12,95.13,220
2024-12-05,SONIA,2024-12,95.13,30
2024-12-06,SONIA,2024-12,95.13,80
2024-12-09,SONIA,2024-12,95.14,420
2024-12-10,SONIA,2024-12,95.13,120
2024-12-11,SONIA,2024-12,95.14,1860
2024-12-12,SONIA,2024-12,95.14,170
2024-12-13,SONIA,2024-12,95.14,850
2024-12-16,SONIA,2024-12,95.13,2680
2024-12-17,SONIA,2024-12,95.13,40
2024-12-18,SONIA,2024-12,95.35,55510
2024-12-19,SONIA,2024-12,95.35,75220
2024-12-20,SONIA,2024-12,95.35,17980
2024-12-23,SONIA,2024-12,95.35,16950
2024-12-24,SONIA,2024-12,95.35,1860
2024-12-27,SONIA,2024-12,95.35,4850
2024-12-30,SONIA,2024-12,95.35,16160
2024-12-31,SONIA,2024-12,95.35,7120
2025-01-02,SONIA,2025-01,95.36,17990
