horizon_days,alpha,n_obs_VaR,exceptions_VaR,hit_rate_VaR,kupiec_LR_VaR,kupiec_p_VaR,christ_ind_LR_VaR,christ_ind_p_VaR,christ_cc_LR_VaR,christ_cc_p_VaR,n_obs_IM,exceptions_IM,hit_rate_IM,kupiec_LR_IM,kupiec_p_IM,christ_ind_LR_IM,christ_ind_p_IM,christ_cc_LR_IM,christ_cc_p_IM,basel_traffic_light_99
2,0.99,137,4,0.029197080291970802,3.3632001439755257,0.06666839699539118,10.05755100705231,0.00151724779696627,13.420751151027837,0.001218206510136599,137,1,0.0072992700729927005,0.11138696742849774,0.7385705848443369,0.02957516489372658,0.8634577220846111,0.14096213232222432,0.9319453846625202,
5,0.99,134,5,0.03731343283582089,5.9496015728924405,0.014720612903404873,26.30167822392319,2.920348004531448e-07,32.25127979681563,9.924841393171846e-08,134,0,0.0,2.693490008738389,0.10075890438478596,0.0,1.0,2.693490008738389,0.2600854613777259,
