horizon_days,alpha,VaR_energy,IM_energy,VaR_financials,IM_financials,AddOn_liquidity,IM_total
2,0.99,90204.09811678041,94714.30302261944,85735.15094700019,90021.90849435021,4263.465,188999.67651696966
5,0.99,132086.33555292507,138690.65233057132,135559.17626543128,142337.13507870285,4263.465,285291.25240927417
